"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.サブメニュー","D.価格","D.オーダー日時","D.数量","D.オーダーステータス","D.商品"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","一品料理","","500","2026/02/16 20:05:16","1","20:配膳済","00000000299:なすのお新香"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","おすすめ","","770","2026/02/16 20:05:16","1","20:配膳済","00000004245:アンコウ唐揚げ"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","おすすめ","","1500","2026/02/16 20:05:16","1","20:配膳済","00000003771:ハラミ焼き"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","コース","コース","","2200","2026/02/16 20:09:05","1","20:配膳済","00000004214:単品飲み放題"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","コース","コース","","2200","2026/02/16 20:09:05","1","20:配膳済","00000004214:単品飲み放題"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","おすすめ","","330","2026/02/16 20:15:43","1","20:配膳済","00000003593:鰻ヒレ串"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","おすすめ","","330","2026/02/16 20:15:43","1","20:配膳済","00000003593:鰻ヒレ串"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","おすすめ","","550","2026/02/16 20:15:43","1","20:配膳済","00000002646:とり天2カン"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","サラダ","","1100","2026/02/16 20:29:17","1","20:配膳済","00000003261:トマトじゃこ"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","揚げ物","","1100","2026/02/16 20:33:24","1","20:配膳済","00000000130:メヒカリの唐揚げ"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","おすすめ","明太マヨx1","440","2026/02/16 20:33:24","1","20:配膳済","00000003209:フライドポテト"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","焼き物","","1800","2026/02/16 20:44:33","1","20:配膳済","00000000066:ぎんだら焼"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","おすすめ","","660","2026/02/16 21:02:46","1","20:配膳済","00000002648:うなぷりん"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","フード","おすすめ","","1100","2026/02/16 21:02:46","1","20:配膳済","00000000163:穴子天ぷら"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","ドリンク","サワー","普通x1","660","2026/02/16 21:20:18","1","20:配膳済","00000000032:ウーロンハイ"
"No:202500100007290","2026/02/16","月","2026/02/16 17:44:06","2026/02/16 21:36:41","2","17330","18","ドリンク","サワー","普通x1","770","2026/02/16 21:20:18","1","20:配膳済","00000000150:梅干しサワー"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","ドリンク","ビール","","770","2026/02/16 18:19:20","1","20:配膳済","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","ドリンク","ビール","","770","2026/02/16 18:19:20","1","20:配膳済","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","フード","鰻料理","並盛x1","4200","2026/02/16 18:19:20","1","20:配膳済","00000002555:うな重 梅"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","フード","鰻料理","並盛x1","4200","2026/02/16 18:19:20","1","20:配膳済","00000002555:うな重 梅"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","フード","鰻料理","","600","2026/02/16 18:19:20","1","20:配膳済","00000002558:肝焼き"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","フード","鰻料理","","600","2026/02/16 18:19:20","1","20:配膳済","00000002558:肝焼き"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","ドリンク","日本酒","","880","2026/02/16 18:22:28","1","20:配膳済","00000000109:八海山"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","ドリンク","日本酒","","880","2026/02/16 18:22:28","1","20:配膳済","00000000109:八海山"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","ドリンク","日本酒","","880","2026/02/16 18:50:36","1","20:配膳済","00000000109:八海山"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","ドリンク","日本酒","","880","2026/02/16 18:50:36","1","20:配膳済","00000000109:八海山"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","フード","一品料理","","1200","2026/02/16 18:52:42","1","20:配膳済","00000000082:マグロ山かけ"
