business_date,day_sales_total,mean_duration_min,mean_sales_per_guest,mean_guests,n_bills,day_sales_category
2025/11/03,213626,83.54655172413793,3338.1149425287354,2.206896551724138,29,高売上日
2025/11/04,46601,71.70185185185184,2815.6666666666665,1.8888888888888888,9,低売上日
2025/11/05,145620,96.39305555555556,3631.6549145299145,3.1666666666666665,12,低売上日
2025/11/06,142411,97.04313725490196,3236.799019607843,2.6470588235294117,17,低売上日
2025/11/07,188805,79.1126984126984,3265.1800453514743,2.4285714285714284,21,低売上日
2025/11/08,205397,75.07055555555556,2946.1252777777777,2.433333333333333,30,高売上日
2025/11/09,183870,89.81884057971016,3525.9710144927535,2.3043478260869565,23,低売上日
2025/11/10,144780,98.49351851851851,3014.6064814814813,2.388888888888889,18,低売上日
2025/11/11,176089,104.4359649122807,3531.9894736842107,2.6315789473684212,19,低売上日
2025/11/12,272322,104.41770833333334,4614.103125,3.1875,16,高売上日
2025/11/13,223313,64.70333333333333,3056.5314285714285,3.8666666666666667,15,高売上日
2025/11/14,202727,89.12681159420289,3197.217391304348,2.608695652173913,23,高売上日
2025/11/15,240306,84.4015625,3186.311458333333,2.375,32,高売上日
2025/11/16,258212,80.70625,2977.6137626262625,3.5416666666666665,24,高売上日
2025/11/17,149596,87.57156862745099,3586.235294117647,2.3529411764705883,17,低売上日
2025/11/18,130262,111.47307692307693,3647.7128205128206,2.6153846153846154,13,低売上日
2025/11/19,201101,93.69097222222223,3692.663888888889,2.1666666666666665,24,高売上日
2025/11/20,171942,97.36372549019609,3606.4411764705883,2.764705882352941,17,低売上日
2025/11/21,218038,104.94375,3556.909722222222,3.3125,16,高売上日
2025/11/22,280658,84.59814814814814,3144.951521164021,2.5,36,高売上日
2025/11/23,193537,83.13703703703703,3007.151234567901,2.4074074074074074,27,低売上日
2025/11/24,186180,68.45222222222222,2937.991666666667,2.1333333333333333,30,低売上日
2025/11/25,180850,129.2,4892.006666666666,3.2,10,低売上日
2025/11/26,127636,90.20128205128205,3633.8928571428573,2.769230769230769,13,低売上日
2025/11/27,115943,86.96333333333334,3120.8083333333334,1.95,20,低売上日
2025/11/28,182008,83.06140350877193,3442.90350877193,2.6315789473684212,19,低売上日
2025/11/29,251861,100.00698924731184,3742.1129032258063,2.161290322580645,31,高売上日
2025/11/30,289142,88.27549019607844,3487.744117647059,2.4411764705882355,34,高売上日
2025/12/01,81606,94.5138888888889,4060.801587301587,3.3333333333333335,6,低売上日
2025/12/02,160010,98.7298245614035,3649.4473684210525,2.3684210526315788,19,低売上日
2025/12/03,142113,100.96944444444445,3888.2638888888887,2.8333333333333335,12,低売上日
2025/12/04,150666,89.38333333333334,3490.6222222222223,2.7333333333333334,15,低売上日
2025/12/05,250651,83.12045454545455,3379.5351731601736,2.9545454545454546,22,高売上日
2025/12/06,301403,90.81891891891892,3642.1396396396394,2.3513513513513513,37,高売上日
2025/12/07,217058,95.6275641025641,3411.433608058608,2.576923076923077,26,高売上日
2025/12/08,120671,88.26470588235294,3444.1029411764707,2.0588235294117645,17,低売上日
2025/12/09,162910,106.43214285714285,4187.369047619048,2.642857142857143,14,低売上日
2025/12/10,219794,85.6297619047619,3099.5238095238096,3.142857142857143,14,高売上日
2025/12/11,180726,90.83611111111111,3622.5,3.4166666666666665,12,低売上日
2025/12/12,152075,106.9578431372549,4193.078431372549,2.176470588235294,17,低売上日
2025/12/13,612319,107.37121212121211,5202.881493506494,4.454545454545454,11,高売上日
2025/12/14,316052,90.70458333333333,3719.9791666666665,2.2,40,高売上日
2025/12/15,216795,97.07063492063492,3691.311507936508,2.5714285714285716,21,高売上日
2025/12/16,189133,96.87592592592593,4397.402777777777,2.388888888888889,18,低売上日
2025/12/17,273021,98.19333333333333,6529.886666666667,2.65,20,高売上日
2025/12/18,226041,104.58771929824562,4541.286842105263,2.526315789473684,19,高売上日
2025/12/19,290765,93.2804347826087,4215.2263285024155,3.0869565217391304,23,高売上日
2025/12/20,318294,95.4671875,3853.028125,2.5625,32,高売上日
2025/12/21,252292,89.6763440860215,3413.3118279569894,2.3548387096774195,31,高売上日
2025/12/22,210409,109.2775,3632.9816666666666,2.7,20,高売上日
2025/12/23,305209,83.72666666666667,4215.423333333333,2.433333333333333,30,高売上日
2025/12/24,117474,89.96875,3608.6875,1.9375,16,低売上日
2025/12/25,171785,103.05350877192983,3956.2807017543855,2.210526315789474,19,低売上日
2025/12/26,269576,93.15133333333333,3122.3386666666665,3.12,25,高売上日
2025/12/27,261158,93.23064516129033,3682.4768817204304,2.3225806451612905,31,高売上日
2025/12/28,260581,89.66666666666667,3331.301724137931,2.6206896551724137,29,高売上日
2025/12/29,281687,99.328125,3525.8875,2.46875,32,高売上日
2025/12/30,315438,81.53480392156862,3750.7892156862745,2.4411764705882355,34,高売上日
2026/01/05,174011,91.34537037037038,3956.8128306878302,2.5,18,低売上日
2026/01/06,162577,91.03416666666666,3381.3708333333334,2.4,20,低売上日
2026/01/07,173161,109.34537037037038,3832.027777777778,2.5555555555555554,18,低売上日
2026/01/08,152222,81.25583333333333,3517.5816666666665,2.15,20,低売上日
2026/01/09,370000,230.93333333333334,5073.529411764706,36.5,2,高売上日
2026/01/10,213788,97.74166666666667,3850.3569444444443,2.4166666666666665,24,高売上日
2026/01/11,294770,95.61999999999999,3601.4238095238093,2.342857142857143,35,高売上日
2026/01/12,300352,106.4962962962963,3702.221604938272,2.7777777777777777,27,高売上日
2026/01/13,226202,120.84111111111112,4122.4,3.3333333333333335,15,高売上日
2026/01/14,292815,89.24375,3077.0625,7.625,8,高売上日
2026/01/15,94048,84.31111111111112,3170.9222222222224,1.9333333333333333,15,低売上日
2026/01/16,277259,101.64733333333334,4010.923333333333,2.64,25,高売上日
2026/01/17,311193,93.1337962962963,3634.174074074074,2.5277777777777777,36,高売上日
2026/01/18,211227,82.72857142857143,3705.6488095238096,2.0714285714285716,28,高売上日
2026/01/19,216863,92.71111111111111,4448.457407407408,2.7222222222222223,18,高売上日
2026/01/20,131381,98.8409090909091,4133.6937229437235,2.909090909090909,11,低売上日
2026/01/21,136903,92.9725,3121.291666666667,2.25,20,低売上日
2026/01/22,187386,93.61818181818181,3581.6219696969697,2.3181818181818183,22,低売上日
2026/01/23,401424,113.33444444444444,4303.38,5.4,15,高売上日
2026/01/24,276757,90.38026315789473,3181.622807017544,2.289473684210526,38,高売上日
2026/01/25,230129,80.9790322580645,3240.9059139784945,2.2580645161290325,31,高売上日
2026/01/26,123343,90.54404761904762,3757.75,2.5,14,低売上日
2026/01/27,192811,91.19393939393939,3861.6287878787875,2.3181818181818183,22,低売上日
2026/01/28,15183,82.25555555555555,3036.0,1.6666666666666667,3,低売上日
