menu_name,sales,qty,accts,period
シャーリーテンプル,16900.0,13,10,Before月 (3/1-3/31)
シングルトン12年,1400.0,1,1,Before月 (3/1-3/31)
シーザーサラダ ハーフ,6000.0,6,5,Before月 (3/1-3/31)
シーザーサラダ フル,12800.0,8,4,Before月 (3/1-3/31)
ジョニーウォーカー ブラックラベル,2400.0,2,1,Before月 (3/1-3/31)
ジョニーウォーカー ブラックルビー,1500.0,1,1,Before月 (3/1-3/31)
ジン,1400.0,1,1,Before月 (3/1-3/31)
ジンジャーエール,3200.0,4,4,Before月 (3/1-3/31)
スパークリング,13500.0,6,2,Before月 (3/1-3/31)
スプリングバンク 10年,3600.0,2,2,Before月 (3/1-3/31)
セイロンバックスフィズ,34600.0,23,18,Before月 (3/1-3/31)
ソフトドリンク,7200.0,9,2,Before月 (3/1-3/31)
タリスカー10年,7000.0,5,5,Before月 (3/1-3/31)
タンカレー,2400.0,2,2,Before月 (3/1-3/31)
タンカレーNo10,1400.0,1,1,Before月 (3/1-3/31)
ダルモア 12年,13600.0,8,4,Before月 (3/1-3/31)
チーズ盛り合わせ,30800.0,14,12,Before月 (3/1-3/31)
テバルド・ビアンコ,13000.0,2,2,Before月 (3/1-3/31)
テバルド・ロッソ,13000.0,2,2,Before月 (3/1-3/31)
デバルド・ビアンコ,16800.0,14,8,Before月 (3/1-3/31)
デバルド・ロッソ,15600.0,13,7,Before月 (3/1-3/31)
デュワーズ 12年,1300.0,1,1,Before月 (3/1-3/31)
トマトのカプレーゼ,12000.0,8,8,Before月 (3/1-3/31)
ドライフルーツ,11000.0,11,8,Before月 (3/1-3/31)
ドリンク,38100.0,27,13,Before月 (3/1-3/31)
ドンフリオ　ブランコ,4500.0,3,1,Before月 (3/1-3/31)
ナヴィゲーター シャルドネ,6600.0,1,1,Before月 (3/1-3/31)
ニッカ シングルカフェグレーン ウッディ＆メロウ,3800.0,2,2,Before月 (3/1-3/31)
ニッカ シングルブランデー 弘前,1900.0,1,1,Before月 (3/1-3/31)
ニッカ　セッション,1300.0,1,1,Before月 (3/1-3/31)
ハウスハイボール,128700.0,99,33,Before月 (3/1-3/31)
ハートランド,32000.0,32,16,Before月 (3/1-3/31)
ハーバルウォッカトニック,5400.0,3,3,Before月 (3/1-3/31)
バスカー,700.0,1,1,Before月 (3/1-3/31)
バランタイン 17年,3400.0,2,1,Before月 (3/1-3/31)
バレルエイジドジン,12600.0,7,1,Before月 (3/1-3/31)
バースデープレート,4650.0,3,3,Before月 (3/1-3/31)
