商品カテゴリ①,商品カテゴリ②,商品名,商品ID,商品単価,累計売上個数,累計売上,2024-11売上個数,2024-12売上個数,2025-01売上個数,2025-02売上個数,2025-03売上個数,2025-04売上個数,2025-05売上個数,2025-06売上個数,2025-07売上個数,2025-08売上個数,2025-09売上個数,2025-10売上個数,2024-11売上高,2024-12売上高,2025-01売上高,2025-02売上高,2025-03売上高,2025-04売上高,2025-05売上高,2025-06売上高,2025-07売上高,2025-08売上高,2025-09売上高,2025-10売上高
フード,焼き物,鶏ハツ,00000000191,190,258,49020,4,16,13,16,22,36,21,35,33,39,22,1,760,3040,2470,3040,4180,6840,3990,6650,6270,7410,4180,190
フード,おつまみ,味付けうずら卵,00000000220,420,116,48720,2,12,9,16,19,11,10,10,6,9,8,4,840,5040,3780,6720,7980,4620,4200,4200,2520,3780,3360,1680
ドリンク,ワイン,白ワイングラス,00000000138,400,120,48000,2,2,11,18,10,5,19,16,1,18,11,7,800,800,4400,7200,4000,2000,7600,6400,400,7200,4400,2800
フード,焼き物,つくね串,00000000038,160,300,48000,11,27,18,29,33,23,38,33,34,20,19,15,1760,4320,2880,4640,5280,3680,6080,5280,5440,3200,3040,2400
フード,食事,お茶漬け(鮭),00000000069,530,90,47700,1,1,7,3,11,11,14,7,7,13,4,11,530,530,3710,1590,5830,5830,7420,3710,3710,6890,2120,5830
フード,焼き物,ネギマ串,00000000034,130,366,47580,8,12,25,38,38,25,40,57,48,34,31,10,1040,1560,3250,4940,4940,3250,5200,7410,6240,4420,4030,1300
ドリンク,日本酒,久保田千寿,00000000127,780,59,46020,2,3,7,8,4,6,11,5,3,3,6,1,1560,2340,5460,6240,3120,4680,8580,3900,2340,2340,4680,780
ドリンク,ワイン,赤ワイングラス,00000000140,400,115,46000,1,4,16,8,4,15,13,10,2,14,16,12,400,1600,6400,3200,1600,6000,5200,4000,800,5600,6400,4800
ドリンク,ワイン,赤ワインボトル,00000000141,3000,15,45000,0,2,0,3,5,1,1,0,1,2,0,0,0,6000,0,9000,15000,3000,3000,0,3000,6000,0,0
ドリンク,ワイン,白ワインボトル,00000000139,3000,15,45000,0,2,0,1,0,0,4,0,4,3,1,0,0,6000,0,3000,0,0,12000,0,12000,9000,3000,0
ドリンク,ビール,オールフリー,00000000100,500,89,44500,0,6,6,8,10,15,5,8,16,8,6,1,0,3000,3000,4000,5000,7500,2500,4000,8000,4000,3000,500
フード,デザート,アイス(バニラ),00000000071,420,104,43680,1,0,2,9,8,21,12,8,13,12,13,5,420,0,840,3780,3360,8820,5040,3360,5460,5040,5460,2100
フード,逸品料理,ネギマヨ餃子,00000000424,460,94,43240,0,0,0,0,0,12,16,14,20,13,5,14,0,0,0,0,0,5520,7360,6440,9200,5980,2300,6440
