取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260407204424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8F666721D9EF4FB49904487CA85BC439,"BAR SNACKS ","キャンディピーカン",700,1
RB0120260407204424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8F666721D9EF4FB49904487CA85BC439,"HOT APPETIZERS","マティポテ",1300,1
RB0120260407204424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8F666721D9EF4FB49904487CA85BC439,"HOT APPETIZERS","フィグバター＆ブリオッシュ",1300,1
RB0120260407204424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8F666721D9EF4FB49904487CA85BC439,"MAIN DISHES","ミントのジェノベーゼ",1900,1
RB0120260409195604000,2026/04/09,21:22:06,10900,10900,990,0,10900,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,01:26:01,"C","大泉",FE46CBCE0E2E4D1FB7FC2982FB9F19CD,"その他","tablecharge",600,2
RB0120260409195604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE46CBCE0E2E4D1FB7FC2982FB9F19CD,"NEW CLASSIC COCKTAIL","デイドリームレモネード",1700,1
RB0120260409195604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE46CBCE0E2E4D1FB7FC2982FB9F19CD,"DESSERT COCKTAIL","ティラミスロブロイ",1500,1
RB0120260409195604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE46CBCE0E2E4D1FB7FC2982FB9F19CD,"COLD APPETIZERS","ワカモレチップス",1200,1
RB0120260409195604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE46CBCE0E2E4D1FB7FC2982FB9F19CD,"HOT APPETIZERS","マティポテ",1300,1
RB0120260409195604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE46CBCE0E2E4D1FB7FC2982FB9F19CD,"MAIN DISHES","ミントのジェノベーゼ",1900,1
RB0120260409195604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE46CBCE0E2E4D1FB7FC2982FB9F19CD,"MAIN DISHES","ボロネーゼラザニア",2100,1
